timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:47:53.630231+00:00,22.0,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:53.900512+00:00,22.272,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:54.171478+00:00,22.542,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:54.446255+00:00,22.813,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:54.717977+00:00,23.088,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:54.989370+00:00,23.36,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:55.264994+00:00,23.631,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:55.535785+00:00,23.907,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:55.806224+00:00,24.177,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:56.075742+00:00,24.448,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:56.345990+00:00,24.717,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:56.614878+00:00,24.988,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,2
2026-08-26T18:47:56.888700+00:00,25.257,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:57.159379+00:00,25.53,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:57.428581+00:00,25.801,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:57.702027+00:00,26.07,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:57.972049+00:00,26.344,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:58.242383+00:00,26.614,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:58.517561+00:00,26.884,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:58.790073+00:00,27.159,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:59.061874+00:00,27.432,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:59.340163+00:00,27.704,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:59.610387+00:00,27.982,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:47:59.881707+00:00,28.252,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:00.158479+00:00,28.523,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:00.432737+00:00,28.8,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:00.703015+00:00,29.074,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:00.977055+00:00,29.345,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:01.250474+00:00,29.619,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:01.521346+00:00,29.892,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:01.791057+00:00,30.163,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:02.064202+00:00,30.433,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:02.334855+00:00,30.706,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:02.606128+00:00,30.977,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:02.879595+00:00,31.248,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:03.150571+00:00,31.521,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:03.423581+00:00,31.792,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:03.697093+00:00,32.065,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:03.968852+00:00,32.339,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:04.241179+00:00,32.61,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:04.521148+00:00,32.883,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:04.793916+00:00,33.163,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:05.065366+00:00,33.436,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:05.343736+00:00,33.707,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:05.615234+00:00,33.985,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:05.886482+00:00,34.257,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:06.164258+00:00,34.528,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:06.435243+00:00,34.806,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:06.707067+00:00,35.077,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
