LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
11m         Normal    SuccessfulDelete               replicaset/statepool-85fccdb4fb                     Deleted pod: statepool-85fccdb4fb-69fwl
10m         Normal    SuccessfulCreate               replicaset/statepool-5d69d4cc8c                     Created pod: statepool-5d69d4cc8c-gbkk8
10m         Normal    Pulled                         pod/statepool-worker-58585d67f7-gs4rg               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
10m         Normal    Created                        pod/statepool-worker-58585d67f7-gs4rg               Created container: worker
10m         Normal    Scheduled                      pod/statepool-5d69d4cc8c-gbkk8                      Successfully assigned statepool-keda/statepool-5d69d4cc8c-gbkk8 to statepool-keda-control-plane
10m         Normal    ScalingReplicaSet              deployment/statepool                                Scaled up replica set statepool-5d69d4cc8c from 0 to 1
10m         Normal    Started                        pod/statepool-worker-58585d67f7-gs4rg               Started container worker
10m         Normal    Started                        pod/statepool-5d69d4cc8c-gbkk8                      Started container statepool-plugin
10m         Warning   Unhealthy                      pod/statepool-worker-58585d67f7-gs4rg               Readiness probe failed: Get "http://10.244.0.11:18118/ready": dial tcp 10.244.0.11:18118: connect: connection refused
10m         Normal    Pulled                         pod/statepool-5d69d4cc8c-gbkk8                      Container image "rwkv-statepool-cloud-plugin:0.3.0-beta.2-dev" already present on machine
10m         Normal    Created                        pod/statepool-5d69d4cc8c-gbkk8                      Created container: statepool-plugin
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/keda-hpa-statepool-worker   invalid metrics (2 invalid out of 2), first error is: failed to get s0-prometheus external metric value: failed to get s0-prometheus external metric: unable to get external metric statepool-keda/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: statepool-worker,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
10m         Warning   FailedGetExternalMetric        horizontalpodautoscaler/keda-hpa-statepool-worker   unable to get external metric statepool-keda/s1-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: statepool-worker,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s1-prometheus encountered error
10m         Warning   FailedGetExternalMetric        horizontalpodautoscaler/keda-hpa-statepool-worker   unable to get external metric statepool-keda/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: statepool-worker,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values metric:s0-prometheus encountered error
10m         Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-gs4rg
10m         Normal    Killing                        pod/statepool-worker-58585d67f7-gs4rg               Stopping container worker
10m         Warning   Unhealthy                      pod/statepool-worker-58585d67f7-gs4rg               Readiness probe failed: HTTP probe failed with statuscode: 503
5m11s       Normal    SuccessfulDelete               replicaset/statepool-5d69d4cc8c                     Deleted pod: statepool-5d69d4cc8c-gbkk8
5m11s       Normal    ScalingReplicaSet              deployment/statepool                                Scaled down replica set statepool-5d69d4cc8c from 1 to 0
5m11s       Normal    Killing                        pod/statepool-5d69d4cc8c-gbkk8                      Stopping container statepool-plugin
5m10s       Normal    Started                        pod/statepool-55dbd7c7bc-t4hjh                      Started container statepool-plugin
5m10s       Normal    ScalingReplicaSet              deployment/statepool                                Scaled up replica set statepool-55dbd7c7bc from 0 to 1
5m10s       Normal    Scheduled                      pod/statepool-55dbd7c7bc-t4hjh                      Successfully assigned statepool-keda/statepool-55dbd7c7bc-t4hjh to statepool-keda-control-plane
5m10s       Normal    Pulled                         pod/statepool-55dbd7c7bc-t4hjh                      Container image "rwkv-statepool-cloud-plugin:0.3.0-beta.2-dev" already present on machine
