timestamp,memory_used_mib,utilization_gpu_pct,temperature_gpu_c,power_draw_w
2026/08/09 10:25:24.751, 14086, 99, 56, 189.12
2026/08/09 10:25:25.782, 14086, 99, 57, 197.87
2026/08/09 10:25:26.818, 14086, 100, 56, 190.04
2026/08/09 10:25:27.855, 14086, 99, 56, 189.97
2026/08/09 10:25:28.891, 14086, 99, 56, 189.96
2026/08/09 10:25:29.929, 14086, 99, 57, 189.81
2026/08/09 10:25:30.965, 14086, 99, 57, 189.67
2026/08/09 10:25:32.000, 14086, 99, 57, 190.02
2026/08/09 10:25:33.037, 14086, 99, 57, 189.88
2026/08/09 10:25:34.075, 14086, 99, 57, 189.60
2026/08/09 10:25:35.114, 14086, 99, 57, 189.99
2026/08/09 10:25:36.151, 14086, 99, 57, 189.79
2026/08/09 10:25:37.188, 14086, 99, 57, 189.76
2026/08/09 10:25:38.224, 14086, 99, 57, 189.88
2026/08/09 10:25:39.262, 14086, 99, 57, 189.83
2026/08/09 10:25:40.299, 14086, 99, 57, 189.89
2026/08/09 10:25:41.334, 14086, 99, 57, 189.92
2026/08/09 10:25:42.383, 14086, 0, 49, 148.49
2026/08/09 10:25:43.418, 14086, 0, 48, 66.71
2026/08/09 10:25:44.456, 14086, 0, 47, 39.68
2026/08/09 10:25:45.491, 14086, 0, 47, 39.60
2026/08/09 10:25:46.522, 14086, 0, 47, 39.25
2026/08/09 10:25:47.562, 14086, 0, 46, 39.08
2026/08/09 10:25:48.592, 14086, 0, 46, 39.09
2026/08/09 10:25:49.623, 14086, 0, 46, 38.96
2026/08/09 10:25:50.652, 14086, 0, 46, 38.92
2026/08/09 10:25:51.688, 14086, 0, 46, 38.87
2026/08/09 10:25:52.716, 14086, 0, 45, 38.79
2026/08/09 10:25:53.749, 14086, 0, 45, 38.90
2026/08/09 10:25:54.781, 14086, 0, 45, 38.94
2026/08/09 10:25:55.816, 14086, 0, 45, 38.84
2026/08/09 10:25:56.853, 14086, 0, 45, 38.92
2026/08/09 10:25:57.885, 14086, 0, 45, 39.00
2026/08/09 10:25:58.917, 14086, 0, 45, 32.52
2026/08/09 10:25:59.958, 14086, 0, 43, 19.99
2026/08/09 10:26:00.990, 14086, 0, 43, 5.72
2026/08/09 10:26:02.026, 14086, 0, 43, 5.49
2026/08/09 10:26:03.061, 14086, 0, 42, 5.51
2026/08/09 10:26:04.102, 14086, 0, 42, 5.53
2026/08/09 10:26:05.132, 14086, 0, 42, 5.50
2026/08/09 10:26:06.163, 14086, 0, 42, 5.46
2026/08/09 10:26:07.204, 14086, 0, 42, 5.45
2026/08/09 10:26:08.234, 14086, 0, 42, 5.43
2026/08/09 10:26:09.271, 14086, 0, 42, 5.38
2026/08/09 10:26:10.310, 14086, 0, 41, 5.34
2026/08/09 10:26:11.353, 14086, 0, 41, 5.38
2026/08/09 10:26:12.384, 14086, 0, 41, 5.37
2026/08/09 10:26:13.413, 14086, 0, 41, 5.09
2026/08/09 10:26:14.446, 14086, 0, 41, 4.85
2026/08/09 10:26:15.478, 14086, 0, 41, 4.86
2026/08/09 10:26:16.526, 14086, 0, 41, 4.86
2026/08/09 10:26:17.557, 14086, 0, 41, 4.85
2026/08/09 10:26:18.589, 14086, 0, 41, 4.86
2026/08/09 10:26:19.622, 14086, 0, 41, 4.85
2026/08/09 10:26:20.653, 14086, 0, 41, 4.85
2026/08/09 10:26:21.684, 14086, 0, 41, 4.84
2026/08/09 10:26:22.714, 14086, 0, 41, 4.82
2026/08/09 10:26:23.745, 14086, 0, 41, 4.85
2026/08/09 10:26:24.778, 14086, 0, 41, 4.87
2026/08/09 10:26:25.814, 14086, 0, 41, 4.88
2026/08/09 10:26:26.846, 14086, 0, 41, 4.89
2026/08/09 10:26:27.889, 14086, 0, 41, 4.88
2026/08/09 10:26:28.930, 14086, 0, 41, 4.85
2026/08/09 10:26:29.962, 14086, 0, 41, 4.84
2026/08/09 10:26:30.994, 14086, 0, 41, 4.82
2026/08/09 10:26:32.028, 14086, 0, 41, 4.81
2026/08/09 10:26:33.060, 14086, 0, 41, 4.79
2026/08/09 10:26:34.094, 14086, 0, 41, 4.82
2026/08/09 10:26:35.123, 14086, 0, 41, 4.84
2026/08/09 10:26:36.157, 14086, 0, 41, 4.82
2026/08/09 10:26:37.192, 14086, 0, 41, 4.81
2026/08/09 10:26:38.227, 14086, 0, 41, 4.81
2026/08/09 10:26:39.261, 14086, 0, 41, 4.80
2026/08/09 10:26:40.301, 14086, 0, 41, 4.82
2026/08/09 10:26:41.333, 14086, 0, 41, 4.83
2026/08/09 10:26:42.365, 14086, 0, 41, 4.82
2026/08/09 10:26:43.396, 14086, 0, 41, 4.83
2026/08/09 10:26:44.430, 14086, 0, 41, 4.84
2026/08/09 10:26:45.464, 14086, 0, 41, 4.83
2026/08/09 10:26:46.501, 14086, 0, 41, 4.82
2026/08/09 10:26:47.531, 14086, 0, 41, 4.81
2026/08/09 10:26:48.561, 14086, 0, 41, 4.80
2026/08/09 10:26:49.593, 14086, 0, 41, 4.80
2026/08/09 10:26:50.630, 14086, 0, 41, 4.82
2026/08/09 10:26:51.669, 14086, 0, 41, 4.84
2026/08/09 10:26:52.708, 14086, 0, 41, 4.85
2026/08/09 10:26:53.742, 14086, 0, 41, 4.85
2026/08/09 10:26:54.773, 14086, 0, 41, 4.84
2026/08/09 10:26:55.803, 14086, 0, 41, 4.81
2026/08/09 10:26:56.838, 14086, 0, 41, 4.81
2026/08/09 10:26:57.874, 14086, 0, 41, 4.83
2026/08/09 10:26:58.910, 14086, 0, 41, 4.84
2026/08/09 10:26:59.941, 14086, 0, 41, 4.83
2026/08/09 10:27:00.970, 14086, 0, 41, 4.80
2026/08/09 10:27:01.999, 14086, 0, 41, 4.81
2026/08/09 10:27:03.029, 14086, 0, 41, 4.79
2026/08/09 10:27:04.059, 14086, 0, 41, 4.80
2026/08/09 10:27:05.089, 14086, 0, 41, 4.83
2026/08/09 10:27:06.120, 14086, 0, 41, 4.84
2026/08/09 10:27:07.150, 14086, 0, 40, 4.84
2026/08/09 10:27:08.184, 14086, 0, 40, 4.83
2026/08/09 10:27:09.216, 14086, 0, 40, 4.82
2026/08/09 10:27:10.245, 14086, 0, 40, 4.85
2026/08/09 10:27:11.277, 14086, 0, 40, 4.86
2026/08/09 10:27:12.308, 14086, 0, 40, 4.85
2026/08/09 10:27:13.348, 14086, 0, 40, 4.83
2026/08/09 10:27:14.382, 14086, 0, 40, 4.83
2026/08/09 10:27:15.418, 14086, 0, 40, 4.84
2026/08/09 10:27:16.451, 14086, 0, 40, 4.84
2026/08/09 10:27:17.485, 14086, 0, 40, 4.82
2026/08/09 10:27:18.521, 14086, 0, 40, 4.80
2026/08/09 10:27:19.555, 14086, 0, 40, 4.79
2026/08/09 10:27:20.588, 14086, 0, 40, 4.81
2026/08/09 10:27:21.618, 14086, 0, 40, 4.81
2026/08/09 10:27:22.650, 14086, 0, 40, 4.78
2026/08/09 10:27:23.683, 14086, 0, 40, 4.81
2026/08/09 10:27:24.718, 14086, 0, 40, 4.83
2026/08/09 10:27:25.764, 14086, 0, 40, 4.82
2026/08/09 10:27:26.800, 14086, 0, 40, 4.80
2026/08/09 10:27:27.838, 14086, 0, 40, 4.81
2026/08/09 10:27:28.874, 14086, 0, 40, 4.83
2026/08/09 10:27:29.907, 14086, 0, 40, 4.84
2026/08/09 10:27:30.939, 14086, 0, 40, 4.83
2026/08/09 10:27:31.972, 14086, 0, 40, 4.82
2026/08/09 10:27:33.009, 14086, 0, 40, 4.80
