timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 12:37:33.333, 9198, 48, 46, 77.38
2026/08/08 12:37:34.354, 9198, 47, 46, 77.27
2026/08/08 12:37:35.376, 9198, 48, 46, 84.27
2026/08/08 12:37:36.401, 9198, 68, 49, 119.12
2026/08/08 12:37:37.426, 9198, 68, 49, 119.46
2026/08/08 12:37:38.449, 9198, 68, 49, 119.61
2026/08/08 12:37:39.471, 9198, 68, 49, 119.43
2026/08/08 12:37:40.494, 9198, 66, 49, 119.27
2026/08/08 12:37:41.519, 9198, 67, 49, 119.54
2026/08/08 12:37:42.544, 9198, 67, 49, 119.24
2026/08/08 12:37:43.567, 9198, 67, 49, 119.32
2026/08/08 12:37:44.590, 9198, 68, 49, 119.04
2026/08/08 12:37:45.613, 9198, 68, 49, 119.60
2026/08/08 12:37:46.635, 9198, 68, 49, 119.49
2026/08/08 12:37:47.658, 9198, 68, 49, 119.45
2026/08/08 12:37:48.682, 9198, 68, 49, 116.83
2026/08/08 12:37:49.702, 9198, 48, 47, 78.30
2026/08/08 12:37:50.725, 9198, 48, 47, 77.48
2026/08/08 12:37:51.748, 9198, 47, 47, 77.25
2026/08/08 12:37:52.769, 9198, 68, 49, 110.97
2026/08/08 12:37:53.793, 9198, 68, 49, 118.50
2026/08/08 12:37:54.816, 9198, 68, 49, 119.21
2026/08/08 12:37:55.838, 9198, 68, 49, 119.76
2026/08/08 12:37:56.863, 9198, 68, 49, 119.58
2026/08/08 12:37:57.888, 9198, 68, 49, 119.60
2026/08/08 12:37:58.911, 9198, 67, 49, 118.38
2026/08/08 12:37:59.936, 9198, 67, 49, 118.61
2026/08/08 12:38:00.959, 9198, 67, 49, 118.37
2026/08/08 12:38:01.985, 9198, 66, 49, 117.88
2026/08/08 12:38:03.011, 9198, 65, 49, 118.50
2026/08/08 12:38:04.033, 9198, 66, 49, 118.47
2026/08/08 12:38:05.057, 9198, 66, 49, 118.09
2026/08/08 12:38:06.081, 9198, 47, 47, 93.44
2026/08/08 12:38:07.104, 9198, 48, 47, 77.28
2026/08/08 12:38:08.124, 9198, 49, 47, 77.37
2026/08/08 12:38:09.145, 9198, 68, 49, 91.08
2026/08/08 12:38:10.169, 9198, 68, 49, 119.15
2026/08/08 12:38:11.194, 9198, 67, 49, 118.42
2026/08/08 12:38:12.216, 9198, 68, 49, 118.49
2026/08/08 12:38:13.238, 9198, 67, 50, 119.04
2026/08/08 12:38:14.262, 9198, 68, 50, 119.39
2026/08/08 12:38:15.287, 9198, 68, 50, 120.21
2026/08/08 12:38:16.309, 9198, 68, 50, 119.93
2026/08/08 12:38:17.335, 9198, 68, 50, 119.79
2026/08/08 12:38:18.360, 9198, 68, 50, 120.41
2026/08/08 12:38:19.384, 9198, 68, 50, 119.83
2026/08/08 12:38:20.409, 9198, 68, 50, 119.73
2026/08/08 12:38:21.432, 9198, 68, 50, 119.60
2026/08/08 12:38:22.456, 9198, 68, 50, 106.59
2026/08/08 12:38:23.480, 9198, 48, 47, 77.26
2026/08/08 12:38:24.504, 9198, 48, 47, 77.12
2026/08/08 12:38:25.525, 9198, 53, 47, 77.92
2026/08/08 12:38:26.547, 9198, 65, 49, 118.39
2026/08/08 12:38:27.571, 9198, 66, 50, 118.72
2026/08/08 12:38:28.593, 9198, 66, 50, 118.88
2026/08/08 12:38:29.619, 9198, 68, 50, 119.74
2026/08/08 12:38:30.643, 9198, 67, 50, 118.84
2026/08/08 12:38:31.667, 9198, 68, 50, 119.73
2026/08/08 12:38:32.692, 9198, 68, 50, 119.92
2026/08/08 12:38:33.715, 9198, 68, 50, 120.20
2026/08/08 12:38:34.740, 9198, 67, 50, 118.94
2026/08/08 12:38:35.765, 9198, 68, 50, 118.66
2026/08/08 12:38:36.789, 9198, 67, 50, 119.00
2026/08/08 12:38:37.813, 9198, 68, 50, 118.77
2026/08/08 12:38:38.836, 9198, 67, 50, 118.70
2026/08/08 12:38:39.858, 9198, 48, 48, 84.64
2026/08/08 12:38:40.879, 9198, 48, 47, 77.67
2026/08/08 12:38:41.900, 9198, 47, 47, 77.66
2026/08/08 12:38:42.922, 9198, 67, 49, 99.51
2026/08/08 12:38:43.947, 9198, 67, 50, 119.42
2026/08/08 12:38:44.972, 9198, 68, 50, 119.86
2026/08/08 12:38:45.995, 9198, 69, 50, 120.50
2026/08/08 12:38:47.017, 9198, 68, 50, 120.62
2026/08/08 12:38:48.043, 9198, 67, 50, 120.19
2026/08/08 12:38:49.068, 9198, 66, 50, 120.15
2026/08/08 12:38:50.091, 9198, 66, 50, 119.64
2026/08/08 12:38:51.116, 9198, 66, 50, 120.21
2026/08/08 12:38:52.142, 9198, 67, 50, 120.20
2026/08/08 12:38:53.167, 9198, 67, 50, 120.36
2026/08/08 12:38:54.192, 9198, 67, 50, 120.07
2026/08/08 12:38:55.217, 9198, 67, 50, 120.04
2026/08/08 12:38:56.239, 9198, 48, 48, 100.13
2026/08/08 12:38:57.263, 9198, 47, 48, 77.74
2026/08/08 12:38:58.286, 9198, 48, 47, 77.85
2026/08/08 12:38:59.309, 9198, 48, 47, 84.38
2026/08/08 12:39:00.333, 9198, 68, 50, 119.94
2026/08/08 12:39:01.357, 9198, 68, 50, 119.33
2026/08/08 12:39:02.380, 9198, 67, 50, 118.48
2026/08/08 12:39:03.404, 9198, 68, 50, 119.59
2026/08/08 12:39:04.429, 9198, 68, 50, 119.02
2026/08/08 12:39:05.452, 9198, 67, 50, 118.96
2026/08/08 12:39:06.474, 9198, 66, 50, 119.12
2026/08/08 12:39:07.499, 9198, 67, 50, 119.40
2026/08/08 12:39:08.523, 9198, 68, 50, 119.67
2026/08/08 12:39:09.548, 9198, 68, 50, 120.35
2026/08/08 12:39:10.571, 9198, 66, 50, 120.15
