timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 18:59:29.859, 14088, 99, 54, 188.63
2026/08/08 18:59:30.894, 14088, 99, 54, 188.43
2026/08/08 18:59:31.930, 14088, 99, 54, 188.66
2026/08/08 18:59:32.963, 14088, 99, 54, 188.83
2026/08/08 18:59:33.999, 14088, 99, 54, 188.82
2026/08/08 18:59:35.036, 14088, 99, 55, 189.25
2026/08/08 18:59:36.074, 14088, 99, 55, 189.01
2026/08/08 18:59:37.109, 14088, 99, 55, 188.93
2026/08/08 18:59:38.144, 14088, 99, 55, 188.88
2026/08/08 18:59:39.182, 14088, 99, 55, 188.80
2026/08/08 18:59:40.219, 14088, 99, 55, 188.80
2026/08/08 18:59:41.255, 14088, 99, 55, 188.86
2026/08/08 18:59:42.291, 14088, 99, 55, 188.65
2026/08/08 18:59:43.327, 14088, 99, 55, 186.47
2026/08/08 18:59:44.364, 14088, 99, 55, 188.90
2026/08/08 18:59:45.400, 14088, 99, 55, 189.14
2026/08/08 18:59:46.434, 14088, 99, 55, 189.27
2026/08/08 18:59:47.472, 14088, 99, 55, 189.14
2026/08/08 18:59:48.506, 14088, 99, 55, 189.07
2026/08/08 18:59:49.542, 14088, 99, 55, 188.97
2026/08/08 18:59:50.578, 14088, 99, 55, 189.03
2026/08/08 18:59:51.613, 14088, 99, 55, 188.90
2026/08/08 18:59:52.649, 14088, 99, 56, 188.84
2026/08/08 18:59:53.685, 14088, 99, 56, 188.90
2026/08/08 18:59:54.720, 14088, 99, 56, 188.94
2026/08/08 18:59:55.756, 14088, 99, 56, 188.82
2026/08/08 18:59:56.792, 14088, 99, 56, 188.84
2026/08/08 18:59:57.829, 14088, 99, 56, 188.49
2026/08/08 18:59:58.868, 14088, 99, 56, 188.57
2026/08/08 18:59:59.904, 14090, 56, 56, 186.87
2026/08/08 19:00:00.941, 14090, 99, 56, 190.20
2026/08/08 19:00:01.977, 14090, 99, 56, 189.14
2026/08/08 19:00:03.012, 14090, 99, 56, 189.23
2026/08/08 19:00:04.049, 14090, 99, 56, 189.10
2026/08/08 19:00:05.083, 14090, 99, 56, 188.78
2026/08/08 19:00:06.122, 14090, 99, 56, 189.16
2026/08/08 19:00:07.158, 14090, 99, 56, 189.39
2026/08/08 19:00:08.192, 14090, 99, 56, 189.38
2026/08/08 19:00:09.228, 14090, 99, 56, 189.16
2026/08/08 19:00:10.266, 14090, 99, 56, 189.32
2026/08/08 19:00:11.305, 14090, 99, 56, 189.59
2026/08/08 19:00:12.339, 14090, 99, 56, 189.46
2026/08/08 19:00:13.375, 14090, 99, 56, 189.32
2026/08/08 19:00:14.411, 14090, 99, 57, 189.21
2026/08/08 19:00:15.449, 14090, 99, 57, 189.43
2026/08/08 19:00:16.484, 14090, 99, 57, 189.27
2026/08/08 19:00:17.522, 14090, 99, 57, 186.84
2026/08/08 19:00:18.559, 14090, 99, 57, 189.70
2026/08/08 19:00:19.592, 14090, 99, 57, 189.39
2026/08/08 19:00:20.626, 14090, 99, 57, 189.47
2026/08/08 19:00:21.662, 14090, 99, 57, 189.34
2026/08/08 19:00:22.701, 14090, 99, 57, 189.29
2026/08/08 19:00:23.739, 14090, 99, 57, 189.43
2026/08/08 19:00:24.777, 14090, 99, 57, 189.50
2026/08/08 19:00:25.815, 14090, 99, 57, 189.60
