timestamp,memory_used_mib,utilization_gpu_percent
2026/08/08 08:19:56.105, 9082, 0
2026/08/08 08:19:57.148, 9082, 0
2026/08/08 08:19:58.195, 9082, 0
2026/08/08 08:19:59.224, 9082, 0
2026/08/08 08:20:00.262, 9076, 0
2026/08/08 08:20:01.292, 9076, 0
2026/08/08 08:20:02.329, 9076, 0
2026/08/08 08:20:03.359, 9076, 0
2026/08/08 08:20:04.406, 9076, 0
2026/08/08 08:20:05.452, 9076, 0
2026/08/08 08:20:06.486, 9076, 0
2026/08/08 08:20:07.518, 9076, 0
2026/08/08 08:20:08.547, 9076, 0
2026/08/08 08:20:09.584, 9076, 0
2026/08/08 08:20:10.616, 9076, 0
2026/08/08 08:20:11.656, 9076, 0
2026/08/08 08:20:12.689, 9076, 0
2026/08/08 08:20:13.719, 9076, 0
2026/08/08 08:20:14.748, 9076, 0
2026/08/08 08:20:15.777, 9076, 0
2026/08/08 08:20:16.805, 9076, 0
2026/08/08 08:20:17.843, 9076, 0
2026/08/08 08:20:18.872, 9076, 0
2026/08/08 08:20:19.915, 9076, 0
2026/08/08 08:20:20.949, 9076, 0
2026/08/08 08:20:21.983, 9076, 0
2026/08/08 08:20:23.022, 9076, 0
2026/08/08 08:20:24.054, 9076, 0
2026/08/08 08:20:25.083, 9076, 0
2026/08/08 08:20:26.116, 9076, 0
2026/08/08 08:20:27.146, 9076, 0
2026/08/08 08:20:28.174, 9076, 0
2026/08/08 08:20:29.206, 9076, 0
2026/08/08 08:20:30.245, 9076, 0
2026/08/08 08:20:31.281, 9076, 0
2026/08/08 08:20:32.315, 9076, 0
2026/08/08 08:20:33.350, 9076, 0
2026/08/08 08:20:34.381, 9076, 0
2026/08/08 08:20:35.418, 9076, 0
2026/08/08 08:20:36.446, 9076, 0
2026/08/08 08:20:37.476, 9076, 0
2026/08/08 08:20:38.514, 9076, 0
2026/08/08 08:20:39.549, 9076, 0
2026/08/08 08:20:40.582, 9076, 0
2026/08/08 08:20:41.619, 9076, 0
2026/08/08 08:20:42.652, 9076, 0
2026/08/08 08:20:43.688, 9076, 0
2026/08/08 08:20:44.722, 9076, 0
2026/08/08 08:20:45.755, 9076, 0
2026/08/08 08:20:46.783, 9076, 0
2026/08/08 08:20:47.812, 9076, 0
2026/08/08 08:20:48.842, 9076, 0
2026/08/08 08:20:49.871, 9076, 0
2026/08/08 08:20:50.900, 9076, 0
2026/08/08 08:20:51.927, 9076, 0
2026/08/08 08:20:52.965, 9076, 0
2026/08/08 08:20:53.997, 9076, 0
2026/08/08 08:20:55.027, 9076, 0
2026/08/08 08:20:56.059, 9076, 0
2026/08/08 08:20:57.097, 9076, 0
2026/08/08 08:20:58.129, 9076, 0
2026/08/08 08:20:59.160, 9076, 0
2026/08/08 08:21:00.191, 9076, 0
2026/08/08 08:21:01.222, 9076, 0
2026/08/08 08:21:02.258, 9076, 0
2026/08/08 08:21:03.288, 9076, 0
2026/08/08 08:21:04.316, 9076, 0
2026/08/08 08:21:05.348, 9076, 0
2026/08/08 08:21:06.382, 9076, 0
2026/08/08 08:21:07.418, 9076, 0
2026/08/08 08:21:08.454, 9076, 0
2026/08/08 08:21:09.480, 9076, 0
2026/08/08 08:21:10.508, 9076, 0
2026/08/08 08:21:11.539, 9076, 0
2026/08/08 08:21:12.571, 9076, 0
2026/08/08 08:21:13.607, 9076, 0
2026/08/08 08:21:14.645, 9076, 0
2026/08/08 08:21:15.673, 9076, 0
2026/08/08 08:21:16.700, 9076, 0
2026/08/08 08:21:17.729, 9076, 0
2026/08/08 08:21:18.760, 9076, 0
2026/08/08 08:21:19.792, 9076, 0
2026/08/08 08:21:20.823, 9076, 0
2026/08/08 08:21:21.857, 9076, 0
2026/08/08 08:21:22.889, 9076, 0
2026/08/08 08:21:23.928, 9076, 0
2026/08/08 08:21:24.960, 9076, 0
2026/08/08 08:21:25.995, 9076, 0
2026/08/08 08:21:27.031, 9076, 0
2026/08/08 08:21:28.076, 9076, 0
2026/08/08 08:21:29.112, 9076, 0
2026/08/08 08:21:30.148, 9076, 0
2026/08/08 08:21:31.186, 9076, 0
2026/08/08 08:21:32.219, 9076, 0
2026/08/08 08:21:33.248, 9076, 0
2026/08/08 08:21:34.284, 9076, 0
2026/08/08 08:21:35.314, 9076, 0
2026/08/08 08:21:36.355, 9076, 0
2026/08/08 08:21:37.387, 9076, 0
2026/08/08 08:21:38.416, 9076, 0
2026/08/08 08:21:39.454, 9076, 0
2026/08/08 08:21:40.482, 9076, 0
2026/08/08 08:21:41.520, 9076, 0
2026/08/08 08:21:42.549, 9076, 0
2026/08/08 08:21:43.581, 9076, 0
2026/08/08 08:21:44.612, 9076, 0
2026/08/08 08:21:45.644, 9076, 0
2026/08/08 08:21:46.682, 9076, 0
2026/08/08 08:21:47.712, 9076, 0
2026/08/08 08:21:48.754, 9076, 0
2026/08/08 08:21:49.785, 9076, 0
2026/08/08 08:21:50.820, 9076, 0
2026/08/08 08:21:51.852, 9076, 0
2026/08/08 08:21:52.883, 9076, 0
2026/08/08 08:21:53.918, 9076, 0
2026/08/08 08:21:54.955, 9076, 0
2026/08/08 08:21:55.995, 9076, 0
2026/08/08 08:21:57.024, 9076, 0
2026/08/08 08:21:58.059, 9076, 0
2026/08/08 08:21:59.092, 9076, 0
2026/08/08 08:22:00.122, 9076, 0
2026/08/08 08:22:01.150, 9076, 0
2026/08/08 08:22:02.185, 9076, 0
2026/08/08 08:22:03.215, 9076, 0
2026/08/08 08:22:04.246, 9076, 0
2026/08/08 08:22:05.276, 9076, 0
2026/08/08 08:22:06.302, 9076, 0
2026/08/08 08:22:07.331, 9076, 0
2026/08/08 08:22:08.370, 9076, 0
2026/08/08 08:22:09.400, 9076, 0
2026/08/08 08:22:10.434, 9076, 0
2026/08/08 08:22:11.463, 9076, 0
2026/08/08 08:22:12.495, 9076, 0
2026/08/08 08:22:13.525, 9076, 0
2026/08/08 08:22:14.556, 9076, 0
2026/08/08 08:22:15.594, 9076, 0
2026/08/08 08:22:16.629, 9076, 0
2026/08/08 08:22:17.670, 9076, 0
2026/08/08 08:22:18.703, 9076, 0
